pipe_id,age,material,diameter,pressure,soil_type,previous_breaks,location_type,leak_reports,failure_risk
1,15,Copper,21,23,Rock,7,Industrial,6,2
2,33,Concrete,36,62,Loam,10,Downtown,15,2
3,21,Concrete,20,142,Rock,7,Rural,1,2
4,25,Concrete,24,123,Sand,4,Commercial,13,2
5,89,Copper,27,144,Loam,0,Residential,6,1
6,88,Cast Iron,27,146,Sand,9,Industrial,2,2
7,78,Copper,36,104,Sand,10,Rural,9,2
8,19,Concrete,46,128,Rock,9,Industrial,5,2
9,89,Copper,36,124,Loam,7,Residential,9,2
10,89,Cast Iron,47,102,Rock,7,Rural,14,2
11,41,Concrete,8,98,Sand,7,Industrial,5,2
12,99,Copper,27,121,Sand,0,Rural,13,1
13,56,Steel,42,26,Clay,3,Downtown,11,2
14,79,PVC,7,21,Loam,10,Industrial,9,2
15,85,Concrete,8,115,Loam,5,Commercial,15,2
16,2,Copper,21,99,Sand,8,Rural,10,2
17,83,Concrete,32,78,Clay,4,Residential,0,1
18,91,Copper,6,138,Loam,9,Residential,14,2
19,66,Steel,36,128,Loam,0,Rural,3,1
20,58,Copper,26,96,Sand,0,Residential,12,1
21,55,Steel,21,112,Rock,9,Rural,0,2
22,40,PVC,20,47,Loam,7,Downtown,4,2
23,30,Cast Iron,48,129,Sand,1,Commercial,0,1
24,23,Steel,37,40,Clay,1,Commercial,7,1
25,65,Cast Iron,17,134,Clay,4,Residential,14,2
26,5,Steel,16,29,Rock,10,Residential,11,2
27,7,Copper,25,68,Clay,4,Downtown,4,1
28,30,PVC,28,121,Sand,4,Residential,6,1
29,54,PVC,28,145,Rock,6,Industrial,8,2
30,84,Copper,26,111,Clay,8,Residential,4,2
31,58,Concrete,37,103,Rock,0,Commercial,9,1
32,37,PVC,20,105,Clay,2,Rural,10,1
33,46,Steel,43,122,Loam,7,Industrial,7,2
34,54,Copper,29,87,Clay,10,Residential,9,2
35,42,Cast Iron,7,135,Rock,5,Downtown,2,2
36,93,Steel,47,56,Sand,5,Residential,11,2
37,87,Copper,37,60,Sand,1,Rural,11,1
38,56,PVC,33,44,Clay,9,Commercial,2,2
39,66,Concrete,39,86,Clay,7,Rural,4,2
40,86,PVC,13,94,Loam,8,Downtown,2,2
41,73,PVC,20,129,Sand,3,Residential,15,2
42,26,Cast Iron,44,117,Loam,8,Residential,8,2
